product_id,brand_name,product_name
7891150054561,Comfort,amaciante concentrado roupas comfort intense puro cuidado refil 900ml
7896504300639,Santa clara,bebida lactea salada frutas santa clara 1kg
4005900328472,Nivea,creme barbear nivea men sensitive 2 1 65g
7898254750061,Cageri,ovos codorna cageri 30
8410376069181,Gullón,biscoito mini bites sabor presunto gullon 250g
7896181711117,Dacolônia,balinha banana organica zero adicao acucares dacolonia 100g
2092180000008,Hortifruti,melao orange inteiro
7891121213003,Stock,licor curacau blue stock 720ml
2128120000002,Peixaria,tainha fresca inteira
7894650012345,Pato,gel adesivo pato lavanda refil 38g
7891010579616,Sempre livre,absorvente sempre livre abas adapt plus suave 16 embalagem promocional
7896082823384,Dover-roll,sacos lixo rolo preto super forte reciclado dover roll 30l 20
7896105800989,Mccain,batata palito pre frita extra crocante congelada mccain 600g
7891023569727,Termolar,garrafa termica pressao lumina cobre 9750 termolar 1 8l
7896007552948,Intimus,protetor diario intimus indicador troca 80
7622210262202,Milka,chocolate milka recheado oreo 100g
7896333064139,Marchand,carrinho multiuso bambu 3 prateleiras bege marchand
7896046700331,Lightner,po descolorante rapido lightner cless germen trigo 50g
7898692301900,Plant power,suplemento alimentar plant power protein 21g vanilla cream 490g
7622210570598,Lacta,chocolate lacta intense 40 cacau amendoas framboesa 85g
7898919412334,Monange,locao hidratante corporal monange hidratacao essencial frutas vermelhas 200ml
7898618521047,Ceratti,linguica pernil suino chimichurri resfriada ceratti 400g
7892840818685,Toddy,cookies malhado gotas brancas pretas toddy 133g
7891999005786,Faixa azul,fondue queijo parmesao faixa azul 400g
7896007544059,Intimus,absorvente intimus abas tripla protecao cobertura seca 32
6920354824395,Colgate,gel dental colgate natural extracts carvao ativado menta 90g
7891132019045,Sabor a mi,tempero completo pimenta sabor mi 300g
7891079013052,Nissin,macarrao instantaneo carne defumada cup noodles nissin 69g
7898155870011,Hortifruti,cogumelo grill 400g
7891134007255,Senador,sabonete barra senador masculino glicerinado vital stone 130g
5701215042407,Emborg,queijo brie emborg 125g
7896333042793,Mercatto,bicarbonato sodio mercatto 60g
7898113911053,Hidroazul,elevador ph hidroazul 1l
7896098905906,Ypê,sabao glicerinado neutro original ype 800g 5
7894904006205,Seara,bacon cubos seara gourmet 140g
7896496917716,Mãe terra,biscoito coco organico tribos integral mae terra 130g
7898067340725,Santa massa,farofa picante santa massa 200g
7798304610041,Amayan,amayan torrontes argentino vinho branco 750ml
7896496972111,Mãe terra,granola frutas mel adicao acucar mae terra 800g
7898019060763,Ares do campo,ovos caipira grandes ares campo 20
7896306625190,Trento,chocolate 38 cacau trento avelas 29g
7891024120903,Ajax,limpador ajax fresh blue 500ml
7898651960308,Oceani,posta cacao congelado pele oceani 800g
7891991304849,Skol beats,bebida skol beats caipirinha long neck 269ml 6 un
7896018704152,Huggies,creme preventivo assaduras huggies supreme care 80g
7891040312719,Nexcare,fita adesiva remocao dor peles sensiveis 3m nexcare 25mmx1 35m
7898303862264,Gree,ar condicionado split 12000 btus gree dual inverter quente frio g top gwh12atc d6dna1a 220v
2210670000004,Dona marta,linguica suina resfriada dona marta
7898141831675,Ganache,sobremesa mousse chocolate whey protein ganache 80g
7898629571710,Haribo,bala gelatina cream kiss haribo 80g
7895500756204,Arno,ventilador mesa arno preto ultra silence force 40cm bluetooth 6 pas vdbt 220v
82184090442,Jack daniel's,whisky americano jack daniel s tennessee 1l
7896029047279,Whiskas,racao umida gatos whiskas filhotes frango molho sache 85g
7896403222971,Nutriplan,cachepo elegance redondo travertino n 3 nutriplan 12x15 4cm
7896451915627,Docile,bala gelatina dentes monstro gelatines docile 80g
7896333051061,Marchand,cafeteira prensa francesa gs 07b104 marchand 300ml
7898311851434,Casa da ovelha,iogurte natural geleia mirtilo zero lactose casa ovelha 130g
7898349703118,Monello,racao caes monello tradicional premium especial frango 10 1kg
7898276970263,Casa valduga,casa valduga merlot nacional vinho tinto seco 750ml
7891040222476,Scotch-brite,conjunto 4 esponjas multiuso scotch brite
7891132011018,Ajinomoto,realcador sabor umami ajinomoto 100g
7790093075773,Cafayate,bodegas etchart cafayate cabernet sauvignon argentino vinho tinto 750ml
7898003540295,Suvalan,suco laranja cenoura maca adicao acucar suvalan 1l
7798099590108,Del fin del mundo,del fin del mundo cabernet sauvignon reserva argentino vinho tinto 750ml
7891107111927,Salada,oleo canola salada 900ml
7896001034105,Esfrebom,corda varal resistente esfrebom bettanin 10 metros
7891040003877,3m,cola bastao transparente scotch 3m 8g
7896333015148,Mercatto,madeleines mercatto 250g
7898958161798,Vida veg,sobremesa mousse chocolate 100 vegetal vida veg 200g
7891024120002,Ajax,limpador ajax fresh lemon 500ml
7896512900166,Granado,sabonete barra granado antisseptico 90g
7896610901089,Excelsior,salsicha tipo bock excelsior 260g
7898965980085,Granosquare,granola premium low carb protein coco nuts granosquare 200g
7896079820075,Montevérgine,bombom chocolate 70 cacau recheado licor cereja montevergine 160g
8004690087633,La molisana,conjunto 2 massas gnocchi di patate gluten la molisana 250g
7898205924480,Verde campo,iogurte morango desnatado lacfree verde campo 170g
7894904578658,Seara,lasanha bolonhesa congelada seara 350g
7896027524031,Estrela,jogo cara cara estrela
7898003540455,Suvalan,suco tomate adicao acucar suvalan 300ml
7894650014820,Pato,bloco sanitario pato caixa acoplada violeta 52g 2
7896000706010,Niely,tintura cor ton louro escuro 6 0 niely
7896025534469,Marco boni,escova cabelo disney mickey oval marco boni
7891182840200,Risqué,esmalte cremoso risque gabriela 8ml
7891356118180,Britânia,fritadeira air fryer britania 5 5l bfr51 127v
20000431,Hortifruti,nabo comprido
7898453418410,Bombay,alho po bombay 40g
7896273900252,Caldo bom,ervilha partida caldo bom 400g
7898361661014,Kraeuterkaese,creme queijo parmesao ervas finas zero lactose kraeuterkaese 90g
7896043014271,Choco soy,chocolate choco soy pops passas lactose 40g
8445291149878,Nescafé,capsulas cafe ristretto africas nescafe 10
7896181712480,Dacolônia,creme amendoim pacoca dacolonia 200g
7891300900359,Salsaretti,molho tomate gourmet classico salsaretti 500g
2507080000008,Perdigão,maminha bovina resfriada vacuo perdigao montana
7908538118279,Tramontina,prato sobremesa porcelana branco vibrare 21cm tramontina
7896333060414,Marchand,tabua petiscos bambu 17 5x10x2cm marchand
2018920000008,Frigon,bife vazio bovino vacuo frigon
2115180000004,Peixaria,tilapia fresca limpa
7896034610017,Parmalat,leite uht integral parmalat 1l 12 un
7896333095294,Marchand,saladeira vidro base madeira marchand 24x15cm
7891000071625,Nan,leite po nan comfor 1 nestle 800g
7898279792039,Fini,bala gelatina minhocas azedinhas fini 80g
